Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-01-01,2720.1,2724.0,2695.1,2720.0,2714.55,18861.0,511.59
2014-01-02,2715.05,2740.0,2626.0,2635.5,2643.25,36534.0,979.32
2014-01-03,2626.0,2642.9,2602.3,2633.4,2630.7,33777.0,885.25
2014-01-06,2629.9,2651.7,2589.1,2625.0,2631.2,25558.0,670.09
2014-01-07,2633.95,2647.25,2602.3,2613.0,2611.65,38002.0,992.94
2014-01-08,2615.25,2616.75,2583.0,2600.0,2600.4,64171.0,1666.17
2014-01-09,2599.0,2614.05,2562.0,2600.0,2599.4,62027.0,1604.48
2014-01-10,2600.6,2622.0,2570.0,2595.0,2588.55,47750.0,1239.07
2014-01-13,2580.1,2621.85,2572.2,2598.1,2602.25,17489.0,453.69
2014-01-14,2580.6,2609.1,2560.0,2560.0,2565.25,16981.0,438.2
2014-01-15,2565.25,2590.5,2560.35,2582.3,2581.9,51562.0,1326.87
2014-01-16,2582.0,2614.0,2568.0,2614.0,2605.95,72107.0,1860.51
2014-01-17,2606.0,2629.95,2597.3,2622.0,2622.0,65497.0,1714.57
2014-01-20,2612.1,2617.85,2578.2,2593.0,2595.55,41074.0,1064.99
2014-01-21,2619.0,2625.0,2582.5,2604.05,2603.3,40203.0,1045.59
2014-01-22,2607.1,2618.0,2565.0,2585.0,2585.65,27067.0,697.84
2014-01-23,2579.0,2595.0,2570.0,2593.0,2591.0,40484.0,1043.74
2014-01-24,2589.0,2618.0,2577.0,2599.9,2594.05,170931.0,4424.67
2014-01-27,2577.9,2604.85,2556.0,2592.5,2592.4,107751.0,2786.46
2014-01-28,2591.0,2600.0,2570.25,2600.0,2592.9,188336.0,4872.8
2014-01-29,2600.0,2625.0,2581.8,2620.0,2605.5,157111.0,4082.89
2014-01-30,2600.0,2619.8,2575.0,2575.0,2589.5,35844.0,930.52
2014-01-31,2588.95,2593.55,2536.4,2563.8,2565.1,115501.0,2946.35
2014-02-03,2550.0,2563.95,2502.05,2502.05,2511.25,57131.0,1447.0
2014-02-04,2498.0,2525.0,2476.0,2491.15,2490.65,36766.0,916.67
2014-02-05,2490.0,2498.0,2451.0,2485.0,2485.65,76767.0,1901.89
2014-02-06,2491.25,2535.0,2461.0,2530.2,2519.25,68544.0,1700.11
2014-02-07,2535.0,2560.05,2527.8,2550.0,2550.55,32153.0,819.29
2014-02-10,2549.5,2589.0,2544.0,2579.85,2567.95,47614.0,1220.43
2014-02-11,2585.1,2586.0,2537.95,2581.0,2580.55,57263.0,1473.71
2014-02-12,2596.2,2596.2,2555.1,2575.0,2574.7,75117.0,1930.48
2014-02-13,2574.1,2574.1,2452.0,2457.0,2468.1,37647.0,943.85
2014-02-14,2474.0,2489.0,2435.1,2451.0,2454.85,29398.0,722.84
2014-02-17,2473.6,2481.95,2450.2,2467.15,2469.2,12414.0,306.95
2014-02-18,2473.0,2509.0,2453.6,2475.25,2483.4,32307.0,804.96
2014-02-19,2488.0,2499.0,2458.0,2493.0,2482.7,23389.0,579.1
2014-02-20,2494.9,2494.9,2426.35,2427.0,2431.0,38912.0,953.45
2014-02-21,2444.35,2511.0,2435.0,2510.0,2500.25,72885.0,1806.37
2014-02-24,2501.0,2530.0,2493.0,2502.15,2504.75,52361.0,1311.28
2014-02-25,2510.1,2540.0,2499.0,2534.85,2527.55,42167.0,1060.63
2014-02-26,2530.25,2599.0,2495.0,2580.0,2566.65,137170.0,3484.21
2014-02-28,2580.0,2580.0,2525.0,2570.0,2540.8,33207.0,844.15
2014-03-03,2550.0,2577.7,2515.8,2525.0,2523.4,49952.0,1269.16
2014-03-04,2529.25,2584.8,2522.6,2579.0,2571.05,87822.0,2246.76
2014-03-05,2590.0,2656.7,2551.1,2648.0,2645.75,96519.0,2519.63
2014-03-06,2649.0,2750.0,2635.3,2745.0,2745.8,91684.0,2466.24
2014-03-07,2755.7,2784.0,2706.3,2764.0,2762.45,83480.0,2305.31
2014-03-10,2750.0,2789.0,2729.85,2751.0,2750.3,67685.0,1864.3
2014-03-11,2755.0,2824.4,2730.0,2824.0,2815.25,64955.0,1813.3
2014-03-12,2819.0,2838.9,2752.25,2769.25,2773.9,52622.0,1468.11
