Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-06-11,951.35,959.95,931.9,952.35,956.9,5079938.0,48115.62
2014-06-12,952.0,985.0,951.2,978.0,982.05,4444543.0,43253.81
2014-06-13,980.0,984.7,972.35,978.0,979.7,3800033.0,37188.02
2014-06-16,975.0,983.55,956.0,960.0,961.65,4451944.0,43091.7
2014-06-17,957.25,971.95,941.25,968.0,965.6,3822167.0,36317.31
2014-06-18,965.0,972.0,952.1,958.55,958.45,3381229.0,32494.85
2014-06-19,959.55,971.0,955.5,966.0,968.45,2781318.0,26802.81
2014-06-20,969.85,977.4,964.5,969.0,969.05,2451177.0,23774.43
2014-06-23,974.4,978.2,960.55,972.4,971.0,2587975.0,25007.74
2014-06-24,972.7,1000.0,972.0,994.25,996.1,3436833.0,34035.37
2014-06-25,998.9,1003.4,989.25,994.65,995.45,3759548.0,37548.97
2014-06-26,1000.0,1002.45,970.45,976.0,976.85,4804273.0,47067.17
2014-06-27,980.0,998.9,971.25,976.0,976.1,3307009.0,32358.62
2014-06-30,983.7,999.0,975.2,987.0,992.55,3290425.0,32478.6
2014-07-01,990.25,998.5,980.0,986.0,984.1,1511271.0,14916.99
2014-07-02,991.05,1011.35,989.0,1003.0,1007.8,1927692.0,19281.73
2014-07-03,1007.8,1017.15,1002.0,1006.8,1008.15,1757141.0,17724.45
2014-07-04,999.7,1016.65,994.1,1012.2,1013.1,1370680.0,13746.28
2014-07-07,1013.0,1024.4,1003.3,1019.45,1020.6,2756178.0,28027.49
2014-07-08,1017.2,1046.5,1016.6,1018.05,1022.2,3414343.0,35240.38
2014-07-09,1020.0,1030.6,1006.0,1013.0,1015.4,2427544.0,24720.17
2014-07-10,1013.0,1044.7,1002.7,1013.85,1022.85,2460496.0,25279.35
2014-07-11,1015.0,1018.0,981.0,989.0,989.65,2177647.0,21663.41
2014-07-14,988.2,1011.95,980.1,983.0,983.8,2076833.0,20671.48
2014-07-15,987.1,992.2,968.9,974.9,977.55,1496337.0,14647.82
2014-07-16,983.0,984.8,946.05,976.4,976.0,5803707.0,55917.81
2014-07-17,974.0,985.2,968.65,975.35,972.35,1224610.0,11963.79
2014-07-18,972.8,987.95,967.7,982.0,983.0,1728285.0,16935.41
2014-07-21,986.0,1015.7,986.0,1004.75,1010.3,2967232.0,29793.61
2014-07-22,1018.5,1044.7,1007.65,1039.2,1041.05,2794266.0,28831.02
2014-07-23,1040.0,1045.85,1030.05,1035.0,1037.05,2286827.0,23744.01
2014-07-24,1033.9,1040.25,1023.5,1036.5,1036.25,2219821.0,22921.31
2014-07-25,1045.0,1079.7,1040.0,1062.05,1067.75,4052214.0,42826.85
2014-07-28,1065.1,1073.85,1046.7,1061.2,1066.5,1735137.0,18347.2
2014-07-30,1066.15,1092.3,1055.55,1089.1,1087.55,3614271.0,38627.14
2014-07-31,1083.1,1085.0,1061.6,1064.9,1068.4,3912617.0,42026.84
2014-08-01,1059.0,1059.0,1035.2,1037.6,1039.65,3191220.0,33378.97
2014-08-04,1040.15,1048.2,1016.15,1030.2,1027.2,3447488.0,35298.62
2014-08-05,1027.2,1054.7,1010.0,1043.6,1045.45,2507633.0,25731.55
2014-08-06,1043.0,1061.0,1030.4,1032.9,1035.35,2547257.0,26599.12
2014-08-07,1025.0,1041.7,1020.7,1028.0,1026.85,1772201.0,18267.45
2014-08-08,1018.9,1029.8,1016.6,1026.5,1026.95,1463169.0,14975.42
2014-08-11,1032.25,1069.9,1030.15,1065.2,1063.2,2698375.0,28265.71
2014-08-12,1077.7,1121.9,1067.35,1119.6,1116.4,3812260.0,41786.04
2014-08-13,1121.0,1149.0,1106.5,1142.75,1144.1,6426655.0,72308.07
2014-08-14,1151.4,1151.4,1111.5,1123.95,1124.3,3955619.0,44377.77
2014-08-18,1119.9,1125.55,1107.55,1112.0,1112.55,1827672.0,20374.89
2014-08-19,1117.0,1124.0,1082.4,1084.85,1085.05,3108921.0,33944.59
2014-08-20,1094.0,1094.0,1064.55,1074.0,1072.4,2958191.0,31783.72
2014-08-21,1078.0,1080.0,1060.65,1063.15,1064.4,3515263.0,37511.69
2014-08-22,1065.1,1076.5,1042.15,1045.0,1044.6,3614598.0,38015.32
2014-08-25,1046.0,1064.4,1045.8,1054.6,1056.3,1443151.0,15282.98
2014-08-26,1056.0,1069.8,1054.0,1059.4,1061.95,2604117.0,27653.83
2014-08-27,1061.5,1075.7,1057.4,1068.2,1069.65,3233230.0,34512.58
2014-08-28,1068.5,1079.9,1063.9,1072.0,1074.5,3638090.0,39092.02
2014-09-01,1084.1,1084.1,1057.0,1059.25,1058.7,2199257.0,23511.87
2014-09-02,1059.0,1080.0,1059.0,1070.0,1066.25,2506164.0,26844.6
2014-09-03,1069.85,1074.85,1057.1,1061.0,1062.7,2505310.0,26710.71
2014-09-04,1066.0,1081.7,1057.7,1079.5,1080.2,2384438.0,25599.97
2014-09-05,1080.05,1081.4,1049.5,1057.65,1055.05,3252019.0,34446.93
2014-09-08,1064.7,1065.9,1046.6,1054.95,1051.65,2229615.0,23546.27
2014-09-09,1054.9,1057.35,1045.1,1048.5,1050.25,1725098.0,18122.35
2014-09-10,1050.0,1053.25,1032.2,1035.5,1035.05,2182023.0,22696.93
2014-09-11,1045.45,1049.75,1032.55,1039.0,1037.85,3049405.0,31796.97
2014-09-12,1041.0,1054.8,1038.45,1053.0,1050.3,1810713.0,18942.09
2014-09-15,1050.0,1050.0,1026.7,1033.9,1034.1,1814730.0,18769.2
2014-09-16,1026.5,1040.7,1012.75,1016.5,1017.8,2644331.0,27149.3
2014-09-17,1019.0,1033.8,1013.0,1018.4,1018.4,2922108.0,29873.17
2014-09-18,1012.15,1056.0,1010.65,1054.0,1053.05,3341891.0,34755.87
2014-09-19,1053.8,1074.0,1048.65,1058.1,1066.25,5966478.0,63322.7
2014-09-22,1056.5,1083.05,1054.8,1076.95,1079.15,1599003.0,17083.1
2014-09-23,1076.85,1084.0,1060.0,1061.8,1066.15,2035289.0,21735.0
2014-09-24,1064.3,1066.25,1041.55,1054.0,1054.7,2800306.0,29535.93
2014-09-25,1052.5,1067.25,1046.7,1060.0,1056.7,3556326.0,37460.61
2014-09-26,1046.6,1057.7,1023.25,1039.0,1038.2,3125255.0,32426.07
2014-09-29,1038.2,1046.5,1025.0,1035.0,1031.15,1210491.0,12516.3
2014-09-30,1031.15,1062.9,1030.2,1053.5,1055.25,2920034.0,30715.88
2014-10-01,1050.0,1058.0,1040.0,1048.05,1050.35,1439615.0,15102.47
2014-10-07,1045.0,1047.0,1015.15,1017.85,1017.8,2317225.0,23730.47
2014-10-08,1016.1,1025.65,1006.85,1012.5,1014.65,1956573.0,19890.55
2014-10-09,1025.0,1045.15,1020.0,1038.0,1042.65,1252118.0,12998.66
2014-10-10,1035.0,1040.65,1003.35,1007.0,1006.4,1344101.0,13621.8
2014-10-13,1002.0,1023.7,996.95,1019.0,1017.8,1076136.0,10877.73
2014-10-14,1023.2,1026.2,1000.1,1004.45,1004.05,2043358.0,20546.58
2014-10-16,1000.95,1008.8,975.0,977.3,981.3,3547187.0,35288.37
2014-10-17,983.0,1006.1,978.35,997.0,997.15,2915892.0,28969.93
2014-10-20,1011.0,1034.0,1007.6,1020.1,1020.1,2152613.0,22001.64
2014-10-21,1022.85,1026.7,1006.75,1022.0,1021.0,2074203.0,21093.57
2014-10-22,1027.9,1035.15,1017.3,1031.0,1030.75,2441333.0,25020.58
2014-10-23,1034.9,1035.35,1027.25,1034.0,1031.55,108476.0,1118.78
2014-10-27,1040.0,1066.4,1032.6,1038.5,1036.75,2511008.0,26278.74
2014-10-28,1040.0,1054.05,1039.4,1050.1,1049.65,2465451.0,25860.36
2014-10-29,1053.5,1057.05,1037.95,1047.6,1048.6,1995790.0,20906.88
2014-10-30,1045.0,1069.85,1044.25,1060.0,1064.7,2837530.0,30082.62
2014-10-31,1066.8,1110.0,1066.0,1101.6,1105.9,3223522.0,35371.66
2014-11-03,1108.2,1125.0,1096.5,1120.0,1120.5,2021290.0,22427.96
2014-11-05,1125.75,1126.9,1093.1,1094.0,1100.55,3718975.0,41294.83
2014-11-07,1101.0,1106.3,1086.6,1104.0,1099.75,1961000.0,21518.89
2014-11-10,1095.25,1117.0,1095.2,1114.1,1113.7,1363710.0,15094.04
2014-11-11,1111.95,1133.6,1110.5,1127.0,1127.55,2754901.0,30892.76
2014-11-12,1130.0,1149.5,1128.0,1135.0,1142.7,1804098.0,20576.66
2014-11-13,1145.0,1145.75,1120.7,1125.6,1129.05,1391689.0,15729.48
2014-11-14,1134.4,1134.4,1103.95,1125.0,1126.85,1276274.0,14292.36
2014-11-17,1129.9,1138.2,1100.1,1129.7,1129.9,2004892.0,22353.77
2014-11-18,1134.0,1134.0,1101.0,1105.25,1105.65,2103196.0,23335.15
2014-11-19,1106.0,1123.4,1101.25,1115.6,1117.2,2176314.0,24188.31
2014-11-20,1115.6,1127.85,1103.7,1125.0,1122.35,1535144.0,17106.13
2014-11-21,1121.05,1139.4,1119.8,1130.1,1134.4,1627570.0,18386.0
2014-11-24,1131.0,1146.0,1118.65,1133.35,1136.7,2473098.0,28003.62
2014-11-25,1132.3,1156.7,1126.4,1149.0,1146.45,3807448.0,43676.38
2014-11-26,1151.4,1162.8,1126.4,1158.0,1158.45,2217395.0,25473.69
2014-11-27,1152.5,1164.15,1142.0,1152.9,1152.6,2374923.0,27341.13
2014-11-28,1155.0,1177.8,1153.9,1156.0,1160.65,2580558.0,30051.34
2014-12-01,1161.1,1166.1,1134.35,1135.8,1137.55,2604026.0,29855.78
2014-12-02,1136.1,1137.5,1111.7,1121.0,1125.1,1735746.0,19526.68
2014-12-03,1122.5,1130.95,1099.5,1104.7,1104.6,2620306.0,29058.87
2014-12-04,1110.0,1116.65,1090.0,1113.0,1113.0,2063649.0,22723.25
2014-12-05,1120.0,1122.65,1109.7,1114.9,1114.85,1693044.0,18878.15
2014-12-08,1120.0,1128.8,1104.35,1106.0,1107.6,1440243.0,16070.9
2014-12-09,1108.0,1119.45,1082.6,1100.0,1103.2,2008922.0,22217.62
2014-12-10,1109.25,1112.35,1085.3,1100.0,1100.05,2357400.0,25960.64
2014-12-11,1102.0,1109.85,1087.6,1091.5,1092.6,2835509.0,31197.53
2014-12-12,1088.25,1102.25,1061.75,1075.9,1069.5,1987564.0,21477.29
2014-12-15,1061.0,1129.9,1060.1,1125.75,1124.3,2542994.0,28259.38
2014-12-16,1125.7,1125.7,1082.85,1090.6,1086.85,2712191.0,29690.12
2014-12-17,1088.0,1106.3,1080.0,1082.45,1088.95,2799779.0,30671.19
2014-12-18,1102.5,1104.4,1076.0,1094.0,1098.2,2026732.0,22119.69
2014-12-19,1108.75,1120.0,1100.0,1109.65,1114.95,2933314.0,32684.49
2014-12-22,1120.0,1150.6,1112.7,1145.9,1146.3,1917158.0,21712.11
2014-12-23,1150.0,1165.9,1120.8,1124.1,1124.35,2425339.0,27687.22
2014-12-24,1127.0,1133.5,1092.2,1101.0,1099.85,4491004.0,49601.3
2014-12-26,1108.8,1119.9,1097.5,1115.3,1116.15,1127180.0,12492.86
2014-12-29,1118.35,1130.0,1116.25,1122.8,1124.1,841728.0,9456.81
2014-12-30,1120.0,1134.9,1117.2,1132.5,1129.4,984892.0,11084.56
2014-12-31,1135.15,1140.75,1121.2,1132.95,1135.9,1461808.0,16556.85
