Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-01-02,720.0,721.0,708.25,716.0,714.8,1206555.0,8609.55
2017-01-03,714.95,717.45,707.15,712.0,711.75,1381976.0,9857.53
2017-01-04,713.0,713.0,692.5,698.0,695.6,4258608.0,29809.99
2017-01-05,702.85,702.85,696.2,698.0,698.95,2180203.0,15251.86
2017-01-06,698.0,718.5,693.35,714.9,716.85,3664687.0,25885.92
2017-01-09,718.0,724.25,707.1,710.0,709.25,1540326.0,11020.83
2017-01-10,711.1,715.7,710.0,712.45,712.65,867005.0,6179.01
2017-01-11,715.0,733.8,708.0,727.65,728.4,3577518.0,25778.48
2017-01-12,732.45,732.45,723.05,727.25,727.95,1106785.0,8063.01
2017-01-13,731.5,735.6,724.4,725.75,727.75,1006051.0,7341.15
2017-01-16,726.1,736.2,723.0,731.5,731.2,741938.0,5415.27
2017-01-17,732.8,735.0,724.3,724.7,726.0,681333.0,4961.83
2017-01-18,725.1,741.75,725.1,731.8,731.1,1125851.0,8267.56
2017-01-19,731.0,737.0,727.0,729.95,728.2,915362.0,6693.76
2017-01-20,732.75,733.15,718.0,725.0,723.05,1115048.0,8086.65
2017-01-23,722.5,739.9,722.0,735.8,732.75,1457199.0,10655.76
2017-01-24,737.5,745.0,734.1,744.9,743.35,1206679.0,8937.12
2017-01-25,747.5,800.9,745.05,793.9,795.2,8772524.0,68740.98
2017-01-27,798.0,802.1,780.45,783.05,785.05,3709367.0,29285.07
2017-01-30,786.0,790.0,771.1,777.0,775.6,2183478.0,17037.38
2017-01-31,777.0,780.3,763.05,775.5,774.15,1400680.0,10806.73
2017-02-01,777.5,782.95,739.15,776.65,777.05,4951867.0,37844.89
2017-02-02,779.0,780.45,764.45,765.9,770.4,2022953.0,15642.86
2017-02-03,769.5,777.2,760.0,764.55,765.3,1562576.0,12021.34
2017-02-06,770.0,773.75,765.3,767.0,766.7,1967556.0,15128.03
2017-02-07,769.0,784.95,768.5,773.8,773.35,2996111.0,23277.92
2017-02-08,774.4,776.2,762.0,768.1,767.6,2607668.0,20070.5
2017-02-09,769.9,779.5,765.0,769.9,769.65,1306279.0,10076.48
2017-02-10,771.1,786.3,771.1,779.25,778.9,1871296.0,14576.87
2017-02-13,779.8,796.0,779.5,792.0,793.15,1804668.0,14281.94
2017-02-14,793.9,796.35,785.95,789.5,790.3,1338969.0,10589.22
2017-02-15,791.2,795.0,781.75,783.55,784.3,1360744.0,10744.95
2017-02-16,785.0,798.5,780.25,793.5,792.5,2256205.0,17882.43
2017-02-17,805.0,811.0,790.1,796.0,796.5,4259173.0,34024.12
2017-02-20,801.9,805.0,795.0,795.0,797.05,847401.0,6770.25
2017-02-21,799.15,800.6,791.1,798.95,797.9,632134.0,5028.6
2017-02-22,799.8,804.45,793.75,795.6,795.85,1106511.0,8840.38
2017-02-23,798.5,814.4,792.5,809.55,810.95,4575547.0,36934.22
2017-02-27,807.5,812.5,795.55,798.45,800.5,2381678.0,19105.17
2017-02-28,801.9,808.45,798.8,803.0,802.1,972189.0,7802.37
2017-03-01,802.1,827.2,802.05,823.95,824.15,2968583.0,24276.29
2017-03-02,827.5,828.7,812.75,816.05,816.15,4455373.0,36611.53
2017-03-03,816.0,817.0,803.0,813.2,809.5,1317035.0,10654.55
2017-03-06,812.9,822.2,811.1,818.5,818.95,1439574.0,11779.7
2017-03-07,820.0,821.0,814.0,817.1,817.0,949754.0,7774.28
2017-03-08,823.05,838.95,819.2,824.0,824.9,3815129.0,31583.76
2017-03-09,826.0,827.8,820.0,825.65,825.45,1597549.0,13158.64
2017-03-10,835.05,838.9,826.15,828.7,828.9,1352797.0,11228.39
2017-03-14,843.0,851.45,832.0,837.1,836.15,3116342.0,26080.26
2017-03-15,837.0,848.45,835.15,846.2,844.15,1718310.0,14478.15
2017-03-16,849.2,856.35,849.2,851.45,851.4,1261745.0,10756.66
2017-03-17,852.95,854.45,842.55,851.0,848.25,4646494.0,39401.96
2017-03-20,855.0,862.0,848.0,855.9,854.6,1592288.0,13611.46
2017-03-21,855.0,861.4,850.95,859.2,859.55,1458329.0,12526.54
2017-03-22,853.0,864.9,848.5,862.65,862.2,9354327.0,80593.88
2017-03-23,863.15,873.5,862.05,864.7,868.15,1610154.0,13975.2
2017-03-24,871.0,886.4,863.9,878.45,879.35,2280029.0,19912.73
2017-03-27,879.35,880.0,858.7,865.3,871.15,1999306.0,17346.86
2017-03-28,877.5,879.95,856.0,860.0,859.45,3049130.0,26469.35
2017-03-29,864.1,864.75,852.55,862.5,857.6,2483787.0,21266.42
2017-03-30,862.5,871.95,859.35,861.0,865.15,3534385.0,30593.69
2017-03-31,865.0,880.0,862.05,871.85,872.2,2586431.0,22591.17
2017-04-03,877.0,879.8,871.0,874.1,875.95,1365426.0,11962.37
2017-04-05,880.0,896.6,877.6,887.9,889.85,2006328.0,17807.46
